2014-10-23 14-15-41
Time,X,Y,Flag,Gif,Error,LineFlag
7983,799,457,0,2,0,True
8000,799,457,0,2,0,True
8017,799,457,0,2,0,True
8033,799,457,0,2,0,True
8050,799,457,0,2,0,True
8067,799,457,0,2,0,True
8083,799,457,0,2,0,True
8100,799,457,0,2,0,True
8117,799,457,0,2,0,True
8133,799,457,0,2,0,True
8150,99,455,1,2,0,True
8166,100,453,1,2,0,True
8183,100,453,1,2,0,True
8200,101,450,1,2,0,True
8216,104,443,1,2,0,True
8233,108,436,1,2,0,True
8250,108,436,1,2,0,True
8267,108,436,1,2,0,True
8283,114,427,1,2,0,True
8300,124,412,1,2,0,True
8316,129,405,1,2,0,True
8333,133,399,1,2,0,True
8350,142,388,1,2,0,True
8366,142,388,1,2,0,True
8383,149,382,1,2,0,True
8400,154,376,1,2,0,True
8416,168,363,1,2,0,True
8433,175,356,1,2,0,True
8450,186,348,1,2,0,True
8466,189,346,1,2,0,True
8483,205,338,1,2,0,True
8500,207,336,1,2,0,True
8516,213,334,1,2,0,True
8533,216,333,1,2,0,True
8550,231,328,1,2,0,True
8566,234,328,1,2,0,True
8583,240,326,1,2,0,True
8600,252,325,1,2,0,True
8616,258,325,1,2,0,True
8633,265,325,1,2,0,True
8650,268,325,1,2,0,True
8666,278,327,1,2,0,True
8683,283,329,1,2,0,True
8700,291,332,1,2,0,True
8716,293,333,1,2,0,True
8733,304,340,1,2,0,True
8750,306,342,1,2,0,True
8766,312,348,1,2,0,True
8783,318,354,1,2,0,True
8800,324,360,1,2,0,True
8816,326,363,1,2,0,True
8833,332,370,1,2,0,True
8850,337,378,1,2,0,True
8866,342,388,1,2,0,True
8883,345,394,1,2,0,True
8900,350,404,1,2,0,True
8916,354,415,1,2,0,True
8933,357,422,1,2,0,True
8950,360,430,1,2,0,True
8967,365,440,1,2,0,True
8983,369,452,1,2,0,True
9000,374,463,1,2,0,True
9016,375,467,1,2,0,True
9033,380,482,1,2,0,True
9050,383,489,1,2,0,True
9066,387,499,1,2,0,True
9083,389,503,1,2,0,True
9100,395,519,1,2,0,True
9117,397,522,1,2,0,True
9133,402,531,1,2,0,True
9150,404,537,1,2,0,True
9166,411,548,1,2,0,True
9183,412,550,1,2,0,True
9200,418,558,1,2,0,True
9216,424,564,1,2,0,True
9233,429,569,1,2,0,True
9250,433,573,1,2,0,True
9266,435,574,1,2,0,True
9283,445,580,1,2,0,True
9300,449,582,1,2,0,True
9316,454,584,1,2,0,True
9333,461,585,1,2,0,True
9350,469,586,1,2,0,True
9367,474,586,1,2,0,True
9383,479,587,1,2,0,True
9400,484,586,1,2,0,True
9417,495,585,1,2,0,True
9433,504,583,1,2,0,True
9450,507,582,1,2,0,True
9467,519,578,1,2,0,True
9483,524,575,1,2,0,True
9500,534,572,1,2,0,True
